anyway,とにかく
following,に続いて
refer,参照する
available,入手可能
department,部門
conference,会議
according to,によると
likely,おそらく
offer,申し出る
equipment,機器
provide,提供する
local,地元の
purchase,購入する
opening,空き
construction,建設
tour,見学する
research,調査する
attend,出席する
delivery,配達物
recently,最近
indicate,示す
employee,社員
additional,追加の
survey,アンケート調査
review,検討する
production,生産
located,位置して
detail,詳細
announce,発表する
repair,修理
increase,増加
include,含む
currently,現在
advertising,広告
charge,請求する
expect,予期する
firm,会社
client,顧客
financial,お金の
annual,年に一度の
payment,支払い
budget,予算
application,応募書類
contract,契約
management,経営
performance,業績
pleased,喜んで
confirm,確認する
award,賞
clothing,衣装
display,展示
candidate,候補者
state,述べる
exhibit,掲示物
session,時間
note,注意する
process,処理する
instruction,説明書
membership,会員
agency,代理店
based,拠点のある
facility,施設
advance,先行した
committee,委員会
successful,成功した
excellent,素晴らしい
industry,産業
fee,料金
accept,受け入れる
upcoming,今度の
latest,最新の
submit,提出する
transportation,輸送手段
resume,履歴書
executive,重役
introduce,導入する
previous,前の
proposal,授業
supply,必需品
enclose,同封する
policy,方針
register,登録する
arrange,手配する
bill,請求書
hire,雇う
approve,承認する
conduct,実行する
opportunity,機会
deadline,締め切り
corporate,企業の
warranty,保証
necessary,必要な
reserve,予約する
resident,住民
create,創造する
inform,知らせる
allow,許す
mention,述べる
appreciate,感謝する
replacement,交換
update,最新情報
branch,支店
paid,有給の
unfortunately,残念なことに
original,元の
rent,家賃
memo,社内文書
luggage,旅行かばん
editor,編集者
exhibition,展示会
leading,首位の
organization,団体
release,発売する
limited,限られた
procedure,手続き
experienced,経験豊富な
personnel,社員
author,著者
benefit,特権
focus,に集中させる
participate,参加する
cause,原因
degree,学位
directlu,直接
host,司会者
expert,専門家
impress,感心させる
mainly,主に
suggestion,提案
supplier,納入業者
document,書類
remind,再確認する
require,求める
representative,担当者
packaging,梱包
description,説明
property,不動産　資産
extension,内線　延長
inquire,尋ねる
merchandise,商品
highly,非常に
result,生じる　結果
assistance,支援
encourage,奨励する
individual,個人
laboratory,研究所
consider,考える
headquarters,本社
ship,出荷する
commercial,商業の
device,機器
intended,意図された
brochure,パンフレット
mail,郵便物　郵送する
prefer,を好む
response,返答
region,地域
donation,寄付
quarter,四半期
agreement,契約
journal,専門誌
distribute,配布する
potential,見込みがある
reschedule,スケジュール変更する
renew,更新する
warehouse,倉庫
refund,返金
advise,努める
immediately,すぐに
council,会議
broadcast,放送する
responsible,担当している　責任がある
avoid,避ける
effective,効果的な
invitation,招待
reduce,下げる
vehicle,乗り物
efficient,効率的な
manufacturer,メーカー
comfortable,快適な
correct,正確な　修正する
downtown,中心街の
method,方法
entire,全体の
range,範囲
setting,環境
apologize,お詫びする
frequent,頻繁な
promotion,昇進
regarding,に関する
temporary,一時的な
traditional,伝統的な
admission,入場
fit,合う
reference,照明先
status,状況
fuel,燃料
nearly,ほとんど　もう少しで
cafeteria,社員食堂
determine,決定する
expense,費用
overseas,海外の
satisfied,満足した
appear,現れる
develop,作り出す　高める
improve,改善する
reasonable,手ごろな
unable,出来ない
delay,遅らせる
legal,法律に関する
regulation,規制
expand,拡大する
launch,開始
recommendation,推薦
direct,向ける　管理する
profit,利益
seek,探し求める
entry,エントリー
claim,申し立て
crew,グループ
demand,需要
figure,数字
raise,上げる
attach,添付する
attract,引く付ける
insurance,保険
departure,出発　脱税
mayor,町長
balance,残金
estimate,見積もり
district,地区
former,前の
modern,現代的な
tip,アドバイス
establish,設立する
option,選択肢
retire,退職する
search,捜索
specific,具体的な
agricultural,農業の
historical,歴史の
helpful,役立つ
complain,苦情
related,関連した
simply,単純に
unique,他にはない
concerning,に関する
reputation,評判
ability,能力
arrival,到着
familiar,よく知っている
ideal,理想的な
maintain,維持する
landscaping,造園
organize,計画する　取りまとめる
significant,かなりの　重要な
occasion,特別な行事　好機
standard,基準
background,経歴
guided,ガイド付きの
advanced,進んだ
alternative,代わりの
confident,確信している
decade,十年間
initial,初めの
separate,分かれた
celebration,お祝い
concern,心配
environment,環境
operate,操作する
various,様々な
brief,短い
full-time,常勤の
overall,全体の
achieve,達成する
basis,基準
complex,複合施設　複雑な
delighted,とても喜んでいる
obtain,得る
honor,称える
properly,ちゃんと
suitable,ふさわしい
electronic,電子の
finalize,取りまとめる　最終決定する
generous,寛大な
preparation,準備
duty,任務
earn,得る
willing,する気がある
worth,価値がある
fund,資金を提供する　資金
overnight,一晩の
particularly,特に
aspect,面
hesitate,ためらう
involved,関わった
regularly,定期的に
scholarship,奨励金
shortly,じきに
automobile,自動車の
deposit,頭金　預け入れる
contain,含む　所有する
content,内容　満足している
proof,証拠
affect,影響する
recognize,認める
representative,代表を務める
transfer,転勤させる
anniversary,記念日
automatically,自動的に
capacity,能力　役割
destination,目的
grant,補助金　許可する
publish,出版する
accompany,添付する
economic,経済の
extremely,きわめて
institution,機関
accurate,正確な
compete,競う
emphasize,強調する
aware,気付いて
crowded,混雑した
praise,称賛する
valuable,貴重な
explore,調査する
found,設立する
function,機能する
impact,影響
amazing,驚くべき
assure,保証する
cooperation,協力
popularity,人気
permit,許可証
solve,解決する
vote,投票する
crop,作物
neighborhood,近所
permanent,常設の
regret,残念に思う
slightly,わずかに
complicated,複雑な
factor,要因
favoralbe,好意的な
guarantee,保証する
mechanical,機械の
priority,優先順位
relatively,比較的
resource,資源
shuttle,定期往復便
divide,分ける
native,出身の
afford,する余裕がある
income,収入
occur,起こる
saving,値引き
findings,結果
located,見つける
postpone,延期する
preserve,保護する
prove,分かる
exact,正確な
gain,得る
labor,労働
regard,みなす　点
closely,密に
deserve,値する
identify,特定する
loyal,忠実な
promising,有望な
stress,強調する　ストレス
analyze,分析する
commission,委託する
committed,熱心に取り組む
comparison,比較
component,部品
enable,可能にする
enjoyable,楽しい
existing,従来の
flyer,チラシ　乗客
proceed,進む
prevent,防ぐ
alike,同様に
appoint,指名する
connection,接続する
eager,熱望する
ease,たやすさ
fairly,かなり
absolutely,完全に
atmosphere,雰囲気
calculate,計算する
contrast,対照
monitor,監視する
occasionally,時々
practical,実務の
serious,重大な
strength,強さ
equally,均等に
import,輸入
informal,非公式　カジュアルな
face,の方を向く
wear,着用する
point,指す
shelf,棚
ladder,梯子
trim,刈り揃える
examine,詳しく調べる
greet,挨拶する
sweep,掃く
adjust,調節する
head,向かう
handle,手で扱う
lean,寄りかかる
cashier,レジ係
sew,縫う
be propped up against,に立てかけられる
walkway,歩道
side by side,並んで
applaud,拍手を送る
water,水をかける
fasten,結ぶ
hallway,廊下
microscope,顕微鏡
mount,据える　固定する
audience,聴衆
plaza,広場
glove,手袋
place,置く
protective,防護服の
scattered,散らばっている
artwork,芸術作品
cast a shadow,影を落とす
page through,ページをめくる
row,列　船をこぐ
reach,手を伸ばす
diner,食事客
pour,注ぐ
load,積み込む
board,乗り込む
pot,植木鉢
garbage can,ゴミ箱
stack,積み重ねる
drawer,引き出し
instrument,楽器
remove,取り出す
cargo,貨物
auditorium,講堂
railing,手すり
potted plant,鉢植え
position,位置に置く
browse,見て回る
reflect,映す
lay out,広げる
doorway,戸口
wheel,車輪の付いたものを動かす
lead to,に通じる
sit opposite,向き合っている
in the distance,遠くに
mow,刈る
vase,花瓶
fountain,噴水　泉
intersection,交差点
platform,台　
dock,波止場
glance,ちらっと見る
cupboard,食器棚
exit,出る
workstation,仕事場
gaze,じっと見る
curb,縁石
slanted,傾斜した
staircase,室内の階段
spectator,観客
courtyard,中庭
pottery,陶器
cookware,調理器具
overlook,見下ろす位置にある
pier,桟橋
lighthouse,灯台
portrait,肖像画
unattended,担当の人がいない
awning,日よけ
patio,テラス
unoccupied,使われていない
polish,磨く
lid,ふた
stool,背もたれのない椅子
crosswalk,横断歩道
brick,レンガ
hang,かかる
kneel,膝をつく
pedestrian,歩行者
crate,木箱
utensil,調理器具
station,配置する
window pane,窓ガラス
stroll,ぶらぶら歩く
lamppost,街灯柱
wheelbarrow,手押しの一輪車
canopy,天蓋
lately,最近
profession,専門的職業
supervisor,上司
ensure,保証する
submission,提出物
notify,知らせる
definitely,間違いなく
eligible,資格がある
paperwork,書類
complimentary,無料の
revise,修正する
track,追跡する　線路
administrative,管理の
retail,小売り
inventory,在庫
extensive,詳細な　幅広い
promotional,販売促進用の
catering,ケータリング
wildlife,野生動物
assign,任命する
imply,暗示する
banquet,夕食会
valid,有効な
affordable,手ごろな
renovate,改装する
guidelines,ガイドライン
certificate,認定証
innovative,革新的な
agenda,議題
assembly,組み立て
install,設置する
orientation,新入社員向け説明会
renowned,名高い
appropriate,適切な
ingredient,料理の材料
storage,保管
beverage,飲料
prior,前の
merger,合併
inn,宿　ホテル
equip,装備する　添え付ける
summary,要約
lease,賃貸借する
defective,欠陥品のある
quarterly,年に四回の
extended,長期の
architect,建築家
grocery,食品雑貨の
sculpture,彫刻
itinerary,旅行の予定表
directory,名簿
expire,期限が切れる
vendor,業者
colleague,同僚
patron,愛用者
relocate,移転させる
tourism,観光業者
remodel,改築する
consumer,消費者
inspect,検査する
numerous,数多くの
payroll,給与
qualified,資格のある　適任の
appliance,電化製品
competitive,他に負けない　競争の激しい
specialize,専門とする
questionnaire,アンケート用紙
approximately,おおよそ
contribute,貢献する　寄付する
productivity,生産性
promptly,素早く
strategy,戦略
dedicated,献身的な　専用の
exceptional,並外れた　非常に素晴らしい
luncheon,昼食会
exceed,超える
multiple,複数の
specify,明確に述べる　暗記する
venue,会場
household,家庭用の
evaluate,評価する
negotiate,交渉する
booking,予約する
circulation,発行部数　図書館の貸し出し
completion,完了
relevant,関連した
thorough,徹底的な
via,を経由して
workplace,職場
accommodations,宿泊施設
flexible,柔軟な
predict,予測する
preference,好み
substantial,かなりの　頑丈な
accessible,到達できる　利用できる
coverage,報道　保険の補償
generate,生み出す
refreshment,軽い飲食物
reliable,信頼できる
revenus,収入
